Depot,Species,Warmed,Elaiosome,t_0,t_0.5,t_1,t_1.5,t_2,t_2.5,t_3,t_3.5,t_4,t_4.5,t_5,t_5.5,t_6,t_6.5,t_7,t_7.5,t_8,t_8.5,t_9,t_9.5,t_10,t_10.5,t_11,t_11.5,t_12,t_24,t_36,t_48
1,CN,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,6,2,2
2,CN,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,13,8,7
3,CN,0,0,25,25,23,17,15,15,15,15,15,15,14,14,14,14,14,14,14,13,9,6,4,0,0,0,0,0,0,0
4,CN,0,0,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,21,21,20,18,18,16,13,0,0,0
5,CN,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,7,4,4
6,CN,0,0,25,25,25,25,25,25,25,25,25,24,22,22,22,22,22,22,22,22,22,22,21,19,15,9,6,0,0,0
7,CN,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,14,12,5
8,CN,0,0,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,23,23,1,1,1
9,CN,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,13,13
10,CN,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,23,23,23,23,23,21,0
11,CN,0,1,25,25,25,25,25,25,25,25,24,24,15,15,10,10,10,10,10,10,10,10,9,9,8,0,0,0,0,0
12,CN,0,1,25,25,25,23,23,23,19,15,9,8,8,8,5,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0
13,CN,0,1,25,25,25,25,25,25,23,23,20,18,18,18,18,18,18,18,16,15,15,15,13,12,12,12,12,0,0,0
14,CN,0,1,25,25,25,24,22,22,20,19,17,17,16,15,14,14,14,13,12,12,12,12,12,11,10,8,0,0,0,0
15,CN,0,1,25,25,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,5,1,0
16,CN,0,1,25,25,23,23,23,23,23,22,22,22,22,22,19,8,8,8,8,8,7,5,3,0,0,0,0,0,0,0
17,CN,0,1,25,25,25,25,25,24,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,21,21,21,15,13
18,CN,0,1,25,25,25,22,22,22,22,21,19,19,19,17,13,10,10,8,8,8,8,8,8,8,8,8,1,0,0,0
19,CN,0,1,25,25,25,25,25,25,25,24,24,24,23,23,23,23,23,23,22,22,22,21,20,20,19,17,16,0,0,0
20,CN,0,1,25,25,25,25,23,23,23,23,23,23,22,22,22,22,21,21,21,21,21,21,21,20,20,20,20,0,0,0
21,CA,0,0,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,23,23,23,23,22,22,21,18,3,0,0
22,CA,0,0,25,25,25,25,25,25,25,25,25,23,22,22,22,22,22,22,22,22,22,22,22,22,21,21,19,0,0,0
23,CA,0,0,25,25,25,25,24,24,24,24,24,22,21,21,21,21,21,20,19,18,18,18,18,18,18,17,17,2,1,1
24,CA,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,23,23,23,23,23,23,23,0,0,0
25,CA,0,0,25,25,25,25,25,25,25,23,23,23,21,21,21,21,21,20,20,20,20,20,20,20,20,20,20,,8,6
26,CA,0,0,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0
27,CA,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,23,21,16
28,CA,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,17,5,1
29,CA,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CA,0,0,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,5,1,1
31,CA,0,1,25,25,24,24,21,21,20,19,19,19,19,19,19,17,17,17,17,17,17,17,17,16,16,14,10,0,0,0
32,CA,0,1,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,2,0,0
33,CA,0,1,25,25,24,20,20,20,20,20,19,19,19,19,18,18,17,17,17,17,14,14,12,11,8,6,2,0,0,0
34,CA,0,1,25,25,25,25,25,25,25,25,25,25,24,23,23,23,23,23,23,23,19,19,15,10,3,0,0,0,0,0
35,CA,0,1,25,25,24,24,24,23,23,23,22,19,18,16,16,16,15,13,13,13,13,13,12,12,12,11,11,0,0,0
36,CA,0,1,25,25,25,25,25,24,22,21,21,21,21,21,21,21,21,21,21,21,19,19,19,19,19,19,19,1,0,0
37,CA,0,1,25,25,24,24,24,22,17,15,13,13,13,13,13,11,11,10,10,10,10,9,9,9,8,8,4,0,0,0
38,CA,0,1,25,24,24,24,24,24,24,24,24,23,23,23,19,17,17,15,15,15,14,14,14,13,13,9,3,2,0,0
39,CA,0,1,25,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,22,22,22,22,22,22,17,3,1
40,CA,0,1,25,19,19,19,19,19,19,19,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,0,0,0
41,CN,1,0,25,25,25,25,25,25,25,25,25,25,22,22,22,22,22,22,22,22,22,22,22,22,21,20,20,0,0,0
42,CN,1,0,25,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,12,6,4
